ID,references,URI,domain,category,EN,FR,DE,ES,definition_en,definition_native,figures,related,note,ed PACTOLS
abrasion(1),inizan1995 inizan1999,https://ark.frantiq.fr/ark:/26678/pcrt8vsh11j861,lithic,trace,abrasion,abrasion,,,,,,,,
abrasion(2),umr8068,https://ark.frantiq.fr/ark:/26678/pcrt8vsh11j861,lithic,trace,abrasion,abrasion,,,"Process of wearing down a surface. In stone knapping, abrasion is typically used to remove the overhanging edges of a striking platform, and is characterized by micro removals visible in the first millimeters of flake's dorsal face.",,,,,
hache,,https://ark.frantiq.fr/ark:/26678/pcrtI9ADjL6wEs,lithic,object,axe,hache,,,,"Outil composé d'une lame et d'un manche et dont le tranchant, situé à l'extrémité distale de la lame et formé par un biseau double, est est orienté dans le même axe que le manche.",,lame(2),,
herminette,garanger1972,https://ark.frantiq.fr/ark:/26678/pcrtTg7ubUZSuL,lithic,object,adze,herminette,,,,,,lame(2),,
lame(2),garanger1972,https://ark.frantiq.fr/ark:/26678/pcrt8vsh11j861,lithic,object,"blade, for an adze or an axe ",lame d'herminette ou de hache,Klinge (Beil oder Axt),,Shaped tool: adze or axe blade,"Partie active d'une hache ou d'une herminette, façonnée sur masse centrale",,"herminette
tête",,
tête,garanger1972,https://ark.frantiq.fr/ark:/26678/pcrt8vsh11j861,lithic,object,"head, adze or axe (deprecated term for blade)",tête d'herminette ou de hache (terme obsolète pour lame),,, ,"Partie active d'une hache ou d'une herminette, façonnée sur masse centrale",,hache herminette lame ,obsolète,
biseau,,https://ark.frantiq.fr/ark:/26678/pcrtf1vtr2rk9q7v92kj3x0t,lithic,object,bevel,biseau,Schneide,,,Partie active d'un outil tranchant formée par un ou deux pans obliques.,,,,A corriger (mélange entre biseau et chanfrein) : https://ark.frantiq.fr/ark:/26678/pcrtf1vtr2rk9q7v92kj3x0t
lame(1),,https://ark.frantiq.fr/ark:/26678/pcrtYdJwXpuL9x,lithic,object,blade (blank),lame (support),Klinge (Grundform),,Blade like flake : develop,,,,,
blank(1),inizan1995 inizan1999,,lithic,object,blank,support,,,"Any element from which an object is knapped, shaped, flaked or retouched. It can be a nodule, a slab, a cobble, a debitage product, etc. (Inizan et al 1999: 131)", ,,,,
blank(2),moos2024,,lithic,object,blank,produit de débitage,Grundform,,Synonym for any kind of flake, ,,,,
bulbe,inizan1995 inizan1999,https://ark.frantiq.fr/ark:/26678/pcrtmk3q13bgfw,lithic,trace,bulb,bulbe,Bulbus,,Conchoidal relief visible on the lower face of the flake radiating from the point where percussion or pressure is applied,,,,see Inizan 1999: 131,
etoilures,inizan1995 inizan1999,,lithic,trace,bulb cracks,étoilures,,,Fracture marks developped radially from the impact point and visible at the periphery of the bulb., ,,,,
esquille_bulbaire,inizan1995 inizan1999 PROBLEMATIC,https://ark.frantiq.fr/ark:/26678/pcrtbtr8mqwg5w,lithic,trace,bulb scar,esquilles bulbaires,,,"Bulb scars (""esquilles bulbaires"") are produced by the detachment of splinters on the bulb and are not initiated at the contact with the hammer.",,,,"""esquillement du bulbe"" wrongly defined as ""esquille bulbaire"" and translated as ""bulb scar"" by Inizan et al 1995 (fig.5), in Inizan et al 1999 (fig. 5,6).",A CORRIGER DANS PACTOLS (voir Note): https://ark.frantiq.fr/ark:/26678/pcrtbtr8mqwg5w
